Name,Category,ImageUrl,Description,Price
Single indoor outdoor lounge chair made of teak wood furniture,Patio chairs,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/4/23/a9638a61-feed-4093-9f70-85c109e748c2.jpg,"**Material:** Perhutani teak wood
**Finishing color:** By request

Crafted from high-quality materials and meticulously made by skilled artisans.
Custom orders available — choose your preferred model, size, and color.

**Note:**

* Price excludes shipping; please contact our admin for delivery cost details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt delivery only.
* Products are shipped via truck or pick-up service for safer, easier, and more affordable delivery.
",Rp750.000
"Minimalist Dining Chair for Cafes and Restaurants — Hiroshima Teak Wood Furniture Chair
",Patio chairs,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/4/23/7c820652-6e25-44b0-8719-eab0dd4e6e4d.jpg,"**Material:** Perhutani teak wood
**Finishing color:** By request

Crafted from high-quality materials and meticulously made by skilled artisans.
Custom orders available — choose your preferred model, size, and color.

**Note:**

* Price excludes shipping; please contact our admin for delivery cost details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt delivery only.
* Products are shipped via truck or pick-up service for safer, easier, and more affordable delivery.
",Rp750.000
"Modern Minimalist Café and Restaurant Dining Chair Made of Teak Wood
",Patio chairs,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/4/23/ac8be3e2-0745-46b0-8622-32d1ebb437d1.jpg,"**Material:** Perhutani teak wood
**Finishing color:** By request

Made from premium-quality materials and expertly crafted by experienced artisans.
Custom orders are available — model, size, and color can be tailored to your preference.

**Note:**

* Price does not include shipping; please contact our admin for delivery fee details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt delivery only.
* Products are shipped via truck or pick-up service for safer, easier, and more cost-effective delivery.",Rp800.000
Modern Indoor and Outdoor Café Chair Made of Teak Wood,Patio chairs,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/27/2bae4d5d-1616-412f-9edc-eea5108d2247.jpg,"**Material:** Perhutani teak wood
**Finishing color:** By request
**Fabric color:** By request

Crafted from premium materials and expertly made by skilled artisans.
Custom designs available — model, size, and color can be adjusted to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery fee details.
* Production time: approximately 15–30 days, depending on queue and design complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt delivery only.
* Items are shipped via truck or pick-up service for a safer, easier, and more economical delivery process.
",Rp1.250.000
Selly Café Chair — Selly Teak Wood Dining Chair,Patio chairs,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/27/46604ab8-df3e-4dd7-af11-bd24bdab2054.jpg,"**Material:** Perhutani teak wood
**Finishing color:** By request

Expertly handcrafted from high-quality materials by skilled artisans.
Custom designs available — model, size, and color can be tailored to your preference.

**Note:**

* Price does not include shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and design complexity.
* Smaller items are shipped directly via JNE.
* Please discuss your order with us before purchasing.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt delivery only.
* Items are shipped via truck or pick-up service for a safer, easier, and more cost-efficient delivery.",Rp800.000
"Classic Minimalist Teak Wood Sofa Chair with Rattan Combination",Patio chairs,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/20/e4e0dbb3-56fc-4202-a829-2cfd2f839461.jpg,"**Material:** Perhutani teak wood
**Finishing color:** By request

Crafted from premium materials and expertly made by experienced artisans.
Custom orders are available — model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery cost information.
* Production time: approximately 15–30 days, depending on queue and design complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt delivery only.
* Products are shipped via truck or pick-up service for safer, easier, and more affordable delivery.",Rp4.700.000
"Minimalist Vintage Teak Wood TV Table Buffet",TV console,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/4/1/5dd70044-4435-4fd9-966b-bb7277d2c98c.jpg,"**Material:** Perhutani teak wood
**Finishing color:** By request

Each piece is crafted from premium materials and meticulously made by skilled artisans.
Custom orders are welcome — model, size, and color can be adjusted to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery fee details.
* Production time: around 15–30 days, depending on queue and product complexity.
* Small-sized items are shipped directly via JNE.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for a safer, easier, and more economical delivery.","Rp6.000.000"
"Modern Minimalist Wooden TV Table",TV console,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/22/06913fff-a4c0-4b5c-b674-ad1f9ebcb253.jpg,"**Material:** Teak wood
**Table size:** 200 x 70 x 50 cm
**Color:** Natural with black accents (customizable)

Suitable for both indoor and outdoor use.
Custom furniture design available.

Crafted from high-quality materials and skillfully made by experienced artisans.
You can customize the model, size, and color to match your preferences.

**Note:**

* Price excludes shipping; please contact our admin for delivery cost details.
* Production time: approximately 15–30 days, depending on queue and design complexity.
* Small items are shipped directly via JNE.
* Please discuss your order with us before purchasing.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more cost-efficient delivery.",Rp4.500.000
"Retro Teak Wood TV Table from Jepara — Original Minimalist Furniture Buffet",TV console,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/22/fa9f59a5-0e68-4115-95b7-38fc1f9dc25f.jpg,"**Material:** Teak wood
**Table size:** 170 x 45 x 60 cm
**Color:** Natural with white accents (customizable)

Suitable for indoor and outdoor use.
Custom furniture design available.

Crafted from premium materials and expertly made by skilled artisans.
Model, size, and color can be customized to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery cost information.
* Production time: approximately 15–30 days, depending on queue and complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more cost-effective delivery.",Rp2.600.000
"Modern TV Table — Modern TV Console",TV console,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/4/1/4e8b5a5f-0351-445c-9f24-f22002f88bd8.jpg,"**Material:** Perhutani teak wood
**Finishing color:** By request

Carefully crafted from high-quality materials by skilled artisans.
Custom orders are available — model, size, and color can be tailored to your preferences.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Products are shipped via truck or pick-up service for safer, easier, and more economical delivery.",Rp8.000.000
